Component,Version,Area,Category,Title,Description,Action,Type,Environment,Release Date
"SAP HANA Cloud","Version independent","Migration","Other","SAP HANA Application Migration Visual Studio Code extension","You can now migrate to SAP HANA Cloud with a Visual Studio Code extension. The SAP HANA Application Migration Visual Studio Code extension streamlines the migration process by providing dedicated tools and guidance within the development environment.  See:     Install Application Migration Extension for SAP HANA  Migrate an XS Classic Application to SAP CAP and SAP HANA Cloud with the SAP HANA Application Migration in Visual Studio Code  Migrate an XS Classic Application to SAP HANA Native with the SAP HANA Application Migration in Visual Studio Code  Migrate an XS Advanced Application to SAP CAP and SAP HANA Cloud with the SAP HANA Application Migration in Visual Studio Code  ","Info only","New","Other","2026-03-30"
"SAP HANA Cloud","Version independent","Administration","Performance","Delete Selected Plans from Plan Trace","You can now delete selected traced SQL queries and their execution plans.  See Plan Trace in SAP HANA Cloud Central.","Info only","Changed","Other","2026-03-24"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Subaccount Mapping for Creating Tenants","You can now map an instance to a subaccount to create new tenants.See Map an SAP HANA Database to Another Environment Context.","Info only","New","Other","2026-03-24"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","Upgrading Data Access Agents without a restart","You can choose to upgrade a Data Access Agent without restarting it with minimal downtime.","Info only","New","Other","2026-03-24"
"SAP HANA Cloud","Version independent","Administration","SAP HANA Cloud Central","View, filter, and sort instances by date","The instance list now has a Created On column. You can view, filter, and sort instances by date.","Info only","New","Other","2026-03-24"
"SAP HANA Cloud","Version independent","Monitoring","SAP HANA Cloud Central","Performance Analyzer","Use the Performance Monitor app to identify performance issues of your SAP HANA Cloud database instances, visualize historical data, and use views to analyze specific performance scenarios.  See Using the Performance Analyzer in SAP HANA Cloud Central. ","Info only","New","Other","2026-03-24"
"SAP HANA Cloud","2026.2 (QRC 1/2026)","Administration","SAP HANA Cloud Central","Create an ECN policy","Create an ECN Policy from an ECN Advisor recommendation, for automated ECN provisioning and deprovisioning based on a schedule or on thresholds (CPU/memory).  See About ECN Policies. ","Info only","New","Other","2026-03-24"
"SAP HANA Cloud","2026.2 (QRC 1/2026)","Monitoring","SAP HANA Cloud Central","Improved Visibility into Workload Class Thread Limits","View effective memory and thread limits applied to each thread in the Threads application. New columns show the resource constraints that were active during thread execution, including inherited limits from parent workload classes.  See View Effective Thread Limits in the Threads Application. ","Info only","New","Other","2026-03-24"
"Data Lake","2026.1.7006 (QRC 1/2026)","Administration","Data Lake","Decouple thin clone","You can now decouple a data lake Relational Engine thin clone from its parent instance.  See Decouple a Thin Clone.","Info only","Changed","Other","2026-03-23"
"Data Lake","2026.1.7006 (QRC 1/2026)","Administration","Query Plans","New directory for query plans","HTML query plans now write to a dedicated subfolder in the diagnostic logs directory in the data lake Files container: /diag/logs/queryplans. The filename now includes USER_ID for increased readability and easier searching.  This new directory structure makes it easier to find your query plans and work with them.   See Diagnostic Logs for Data Lake Relational Engine.","Info only","New","Other","2026-03-23"
"Data Lake","2026.1.7006 (QRC 1/2026)","Reference","SQL","DECLARE EXISTING LOCAL TEMPORARY TABLE Statement","The DECLARE EXISTING LOCAL TEMPORARY TABLE statement now supports the EXISTING parameter.  See DECLARE LOCAL TEMPORARY TABLE Statement for Data Lake Relational Engine.","Info only","Changed","Other","2026-03-23"
"Data Lake","2026.1.7006 (QRC 1/2026)","Reference","SQL","List and delete query plans","Stored procedures sp_list_query_plans and sp_delete_query_plan now let you manage query plans. See sp_list_query_plans Stored Procedure, sp_delete_query_plan Stored Procedure.","Info only","New","Other","2026-03-23"
"Data Lake","2026.1.7006 (QRC 1/2026)","Reference","SQL","Load from Delta Shares","The data lake Relational Engine LOAD TABLE statement syntax was extended to let you load data from Delta Tables stored on public Delta Shares. See:  LOAD Statement (Non-Parquet Formats)  Load Data from Delta Shares in Data Lake Relational Engine  LOAD Statement (Non-Parquet Formats) for Data Lake Relational Engine (SAP HANA DB-Managed)  Load Data From Delta Shares in Data Lake Relational Engine (SAP HANA DB-Managed)  ","Info only","Changed","Other","2026-03-23"
"SAP HANA Database","2026.2 (QRC 1/2026)","Administration","Administration","Support for small 16GB database instances","You can now provision database instances with 16GB memory for AWS regions. Use this option for cost-sensitive workloads that don't require larger instance sizes.   See Managing Smaller SAP HANA Instances. ","Info only","New","Cloud Foundry,Other","2026-03-23"
"SAP HANA Database","2026.2 (QRC 1/2026)","Administration","Backup and Recovery","Multi-Tenant Audit Policy Support","You can now create audit policies that automatically apply to tables with the same name across all tenants. Previously, you had to manually update audit policies every time you added or removed a tenant. With the new wildcard schema support, a single audit policy can now monitor the same table across all tenant schemas without requiring updates when tenants are added or removed.   See:     Feature Limitations  Best Practices and Recommendations for Creating Audit Policies  Performance Considerations  ","Info only","New","Cloud Foundry,Other","2026-03-23"
